station_id,name,latitude,longitude,elevation_m,abs_latitude,observation_days,temp_mean_c,temp_seasonality_c,diurnal_range_c,dewpoint_depression_c,precip_total_mm,precip_log_mm,wet_day_fraction,snow_day_fraction,wind_mean_ms,fog_day_fraction,thunder_day_fraction,cluster,cluster_label
72529014768,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",43.11723,-77.67539,164.5,43.11723,365,10.576864535768646,22.30715565796211,11.714916286149165,5.482191780821918,1018.5330027548209,6.927099961000932,0.3415977961432507,0.2191780821917808,3.6829962093150685,0.07397260273972603,0.07671232876712329,0,Maritime temperate
71183099999,"MONTREAL PIERRE ELLIOTT TRUDEAU INTERNATIONAL QU, CA",45.4666666,-73.7333333,32.0,45.4666666,364,9.103021978021978,28.85407066052227,9.567155067155069,5.61584249084249,1111.7559065934067,7.014595015986488,0.38461538461538464,0.0,3.597150738461538,0.0,0.0,0,Maritime temperate
78961300410,"ARTHUR NAPOLEON RAYMOND ROBINSON INTERNATIONAL AIRPORT, TD",11.15,-60.833,12.2,11.15,365,27.63074581430746,3.978558627752175,6.64261796042618,4.189193302891932,1272.9796153846153,7.149900835521066,0.34065934065934067,0.0,3.68708357260274,0.0,0.07945205479452055,0,Maritime temperate
70273026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.16916,-150.02771,38.0,61.16916,365,3.035007610350076,22.711469534050178,8.14779299847793,3.9964992389649923,648.2059065934067,6.475749933863691,0.33791208791208793,0.2602739726027397,2.8466371145205476,0.1589041095890411,0.0,2,Subarctic continental
91165022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,21.98048,365,24.81963470319635,5.098566308243729,6.740791476407915,4.627549467275494,1099.566,7.0035798719078874,0.3917808219178082,0.0,5.724986530410958,0.01643835616438356,0.01643835616438356,0,Maritime temperate
74780863803,"LAWRENCEVILLE GWINNET CO BRISCOE FIELD AIRPORT, GA US",33.97972,-83.96333,323.4,33.97972,360,16.900308641975307,18.120071684587813,13.328240740740739,5.925308641975308,495.50090395480225,6.207585304137754,0.1694915254237288,0.002777777777777778,2.1633799211111113,0.04722222222222222,0.14444444444444443,0,Maritime temperate
89056099999,"CENTRO MET. ANTARTICO PDTE. EDUARDO FREI, AY",-62.1833333,-58.9833333,48.0,62.1833333,365,-2.081735159817352,7.636081242532855,3.070319634703196,1.6452054794520548,539.1952472527473,6.291930643194575,0.29120879120879123,0.4547945205479452,12.828964867945206,0.6410958904109589,0.0,3,Polar / tundra
70261526498,"FAIRBANKS WAINWRIGHT ARMY AIR FIELD AIRPORT, AK US",64.8375,-147.61444,138.4,64.8375,362,-1.439073050951504,40.37455197132616,11.967771639042356,4.860497237569061,361.0135944700461,5.891681764905303,0.271889400921659,0.30386740331491713,1.6094138950276244,0.04419889502762431,0.022099447513812154,2,Subarctic continental
91765061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",-14.33056,-170.71361,3.7,14.33056,365,27.725418569254188,2.003703703703703,5.8392694063926935,2.240639269406393,3525.804958448753,8.168147629146087,0.6094182825484764,0.0,4.6285865643835615,0.0,0.07671232876712329,4,Tropical humid
82899099999,"GUARARAPES GILBERTO FREYRE INTERNATIONAL, BR",-8.126486,-34.923592,10.05,8.126486,365,26.974733637747335,2.280884109916368,4.887214611872147,4.7333333333333325,1408.2241483516482,7.250794582533464,0.40934065934065933,0.0,3.8704511463013698,0.0,0.030136986301369864,0,Maritime temperate
91413040308,"YAP ISLAND WEATHER SERVICE OFFICE AIRPORT, FM FM",9.48333,138.08333,13.4,9.48333,365,27.84809741248097,0.78494623655914,5.11993911719939,2.3751902587519025,3251.545722222222,8.087193267850413,0.6638888888888889,0.0027397260273972603,2.776447220821918,0.0,0.06301369863013699,4,Tropical humid
78016013601,"L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD",32.36667,-64.68333,5.5,32.36667,365,22.4896499238965,9.921146953405017,5.335159817351599,3.8929984779299844,2187.1764564564564,7.690823807665027,0.45045045045045046,0.0,6.0889028065753426,0.0,0.08767123287671233,4,Tropical humid
74781263813,"MARIETTA COBB CO MCCOLLUM FIELD AIRPORT, GA US",34.01306,-84.59861,317.0,34.01306,365,17.255555555555553,18.272401433691755,13.080365296803654,6.492846270928464,1174.2412983425413,7.069228765786246,0.2955801104972376,0.0,2.3654557950684936,0.024657534246575342,0.12876712328767123,0,Maritime temperate
65578099999,"ABIDJAN FELIX HOUPHOUET BOIGNY INTERNATIONAL, IV",5.261386,-3.926294,6.4,5.261386,365,27.44916286149163,3.0071684587813614,5.5587519025875185,2.0071537290715376,3947.087587719298,8.280986585646517,0.5657894736842105,0.0,3.2022377205479455,0.010958904109589041,0.38082191780821917,4,Tropical humid
74466799999,"RAY S MILLER ARMY AIR FIELD CAMP RIPLEY MINNESOTA USA, MN US",46.091203,-94.360539,350.52,46.091203,342,7.882066276803118,30.34232804232804,11.723521767381417,5.303768680961664,947.5571361502347,6.8549420259901535,0.3427230046948357,0.23391812865497075,3.212266555555556,0.06432748538011696,0.06725146198830409,2,Subarctic continental
95765099999,"SYDNEY OLYMPIC PARK AWS ARCHERY CENTRE, AS",-33.8333333,151.0666666,4.0,33.8333333,365,17.937290715372907,10.948745519713263,12.431811263318114,5.840182648401826,700.024,6.552542123253089,0.2136986301369863,0.0,2.1787055758904113,0.0,0.0,0,Maritime temperate
78526011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US",18.43261,-66.01065,3.0,18.43261,365,27.507458143074583,3.9956989247311796,7.011872146118722,4.714459665144597,1453.6419999999998,7.282515101220825,0.4575342465753425,0.0,3.7560049742465758,0.00821917808219178,0.10410958904109589,4,Tropical humid
40848099999,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",29.539333,52.589474,1499.61,29.539333,365,19.830745814307456,26.16487455197133,17.059208523592087,17.547488584474888,208.78799999999998,5.346097496995576,0.06027397260273973,0.0,1.638468904109589,0.01643835616438356,0.03561643835616438,1,Arid / semi-arid
40800099999,"ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR",32.750721,51.861694,1545.94,32.750721,365,16.736986301369864,30.114695340501793,19.637747336377473,18.589802130898022,168.148,5.130774071331808,0.057534246575342465,0.010958904109589041,2.8408584284931506,0.06575342465753424,0.030136986301369864,1,Arid / semi-arid
89055099999,"BASE MARAMBIO CENTRO MET. ANTARTICO, AY",-64.2333333,-56.7166666,208.0,64.2333333,365,-6.686149162861492,17.596654719235364,7.6805175038051745,1.9133942161339423,323.59599999999995,5.782581332145661,0.20273972602739726,0.3835616438356164,9.421372378082191,0.5178082191780822,0.0,3,Polar / tundra
